73
108
0.0 0.0
0.3333333333333333 0.0
0.6666666666666666 0.0
1.0 0.0
1.0 0.3333333333333333
1.0 0.6666666666666666
1.0 1.0
0.6666666666666667 1.0
0.33333333333333337 1.0
0.0 1.0
0.0 0.6666666666666667
0.0 0.33333333333333337
0.5 0.5
1.3333333333333333 0.0
1.6666666666666665 0.0
2.0 0.0
2.0 0.3333333333333333
2.0 0.6666666666666666
2.0 1.0
1.6666666666666667 1.0
1.3333333333333335 1.0
1.5 0.5
2.3333333333333335 0.0
2.6666666666666665 0.0
3.0 0.0
3.0 0.3333333333333333
3.0 0.6666666666666666
3.0 1.0
2.6666666666666665 1.0
2.3333333333333335 1.0
2.5 0.5
1.0 1.3333333333333333
1.0 1.6666666666666665
1.0 2.0
0.6666666666666667 2.0
0.33333333333333337 2.0
0.0 2.0
0.0 1.6666666666666667
0.0 1.3333333333333335
0.5 1.5
2.0 1.3333333333333333
2.0 1.6666666666666665
2.0 2.0
1.6666666666666667 2.0
1.3333333333333335 2.0
1.5 1.5
3.0 1.3333333333333333
3.0 1.6666666666666665
3.0 2.0
2.6666666666666665 2.0
2.3333333333333335 2.0
2.5 1.5
1.0 2.3333333333333335
1.0 2.6666666666666665
1.0 3.0
0.6666666666666667 3.0
0.33333333333333337 3.0
0.0 3.0
0.0 2.6666666666666665
0.0 2.3333333333333335
0.5 2.5
2.0 2.3333333333333335
2.0 2.6666666666666665
2.0 3.0
1.6666666666666667 3.0
1.3333333333333335 3.0
1.5 2.5
3.0 2.3333333333333335
3.0 2.6666666666666665
3.0 3.0
2.6666666666666665 3.0
2.3333333333333335 3.0
2.5 2.5
12 0 1
12 1 2
12 2 3
12 3 4
12 4 5
12 5 6
12 6 7
12 7 8
12 8 9
12 9 10
12 10 11
12 11 0
21 3 13
21 13 14
21 14 15
21 15 16
21 16 17
21 17 18
21 18 19
21 19 20
21 20 6
21 6 5
21 5 4
21 4 3
30 15 22
30 22 23
30 23 24
30 24 25
30 25 26
30 26 27
30 27 28
30 28 29
30 29 18
30 18 17
30 17 16
30 16 15
39 9 8
39 8 7
39 7 6
39 6 31
39 31 32
39 32 33
39 33 34
39 34 35
39 35 36
39 36 37
39 37 38
39 38 9
45 6 20
45 20 19
45 19 18
45 18 40
45 40 41
45 41 42
45 42 43
45 43 44
45 44 33
45 33 32
45 32 31
45 31 6
51 18 29
51 29 28
51 28 27
51 27 46
51 46 47
51 47 48
51 48 49
51 49 50
51 50 42
51 42 41
51 41 40
51 40 18
60 36 35
60 35 34
60 34 33
60 33 52
60 52 53
60 53 54
60 54 55
60 55 56
60 56 57
60 57 58
60 58 59
60 59 36
66 33 44
66 44 43
66 43 42
66 42 61
66 61 62
66 62 63
66 63 64
66 64 65
66 65 54
66 54 53
66 53 52
66 52 33
72 42 50
72 50 49
72 49 48
72 48 67
72 67 68
72 68 69
72 69 70
72 70 71
72 71 63
72 63 62
72 62 61
72 61 42
