Operacja,Wejście,Peak lista [KiB],Peak HEDS [KiB],Różnica [KiB],Różnica procentowa [%]
OP1; 1 warstwa,Zbiór A,3.3672,1.5781,1.7891,53.1323
OP1; 2 warstwy,Zbiór A,3.9531,2.9297,1.0234,25.8893
OP2; 1 warstwa,Zbiór A,3.7578,2.2266,1.5312,40.7484
OP2; 2 warstwy,Zbiór A,4.5625,3.4844,1.0781,23.6301
OP3,Zbiór A,3.1016,0.4844,2.6172,84.3829
OP1; 1 warstwa,Zbiór B,59.7188,2.9609,56.7578,95.0419
OP1; 2 warstwy,Zbiór B,62.3359,5.5781,56.7578,91.0515
OP2; 1 warstwa,Zbiór B,47.2422,2.2266,45.0156,95.2869
OP2; 2 warstwy,Zbiór B,48.5781,3.8594,44.7188,92.0553
OP3,Zbiór B,66.3125,2.9375,63.375,95.5702
OP1; 1 warstwa,Zbiór C,20.2578,2.4609,17.7969,87.8519
OP1; 2 warstwy,Zbiór C,20.3438,3.4297,16.9141,83.1413
OP2; 1 warstwa,Zbiór C,23.6094,2.1406,21.4688,90.9332
OP2; 2 warstwy,Zbiór C,24.4141,3.3984,21.0156,86.08
OP3,Zbiór C,34.2109,3.0781,31.1328,91.0025
OP1; 1 warstwa,Zbiór D,30.1562,2.9609,27.1953,90.1813
OP1; 2 warstwy,Zbiór D,32.8359,6.0234,26.8125,81.656
OP2; 1 warstwa,Zbiór D,37.8828,2.2266,35.6562,94.1225
OP2; 2 warstwy,Zbiór D,37.8828,3.7422,34.1406,90.1217
OP3,Zbiór D,43.7422,2.9375,40.8047,93.2845
